review_ref,category_id,user_id
2,35,1
2,45,1
2,48,1
6,35,1
6,38,1
6,49,1
8,38,1
9,49,1
10,35,1
10,43,1
12,35,1
12,43,1
13,35,1
13,48,1
15,35,1
15,40,1
15,48,1
16,42,1
20,48,1
20,49,1
22,35,1
22,38,1
22,48,1
24,43,1
25,35,1
25,48,1
26,35,1
26,36,1
29,38,1
30,48,1
31,38,1
31,49,1
33,35,1
33,36,1
34,35,1
34,36,1
34,40,1
35,35,1
36,48,1
37,35,1
37,38,1
37,48,1
38,41,1
39,38,1
42,49,1
48,35,1
48,48,1
52,48,1
55,38,1
55,49,1
56,48,1
57,35,1
57,38,1
64,48,1
67,48,1
71,35,1
71,43,1
71,48,1
73,35,1
73,38,1
73,40,1
74,35,3
74,36,3
74,40,3
74,48,3
78,35,3
78,48,3
79,43,3
79,48,3
80,35,3
80,40,3
81,35,3
81,48,3
82,35,3
82,43,3
83,35,3
83,41,3
83,42,3
84,33,3
85,48,3
89,43,3
90,49,3
92,35,3
92,36,3
95,43,3
96,35,3
96,48,3
99,35,3
99,40,3
100,35,3
100,48,3
102,41,3
103,35,3
103,45,3
103,48,3
104,35,3
104,36,3
104,48,3
105,48,3
106,43,3
106,48,3
109,44,3
109,48,3
112,41,3
113,35,3
113,48,3
117,43,3
117,48,3
120,48,3
121,33,3
122,35,3
122,38,3
124,48,3
125,48,3
128,35,3
128,40,3
128,48,3
129,35,3
129,43,3
130,35,3
130,43,3
131,49,3
132,48,3
133,49,3
137,35,3
137,49,3
138,36,3
138,41,3
139,43,3
140,35,3
140,38,3
140,42,3
140,48,3
142,38,3
143,48,3
145,38,3
145,43,3
148,43,3
149,41,3
150,35,3
150,48,3
155,43,3
157,35,3
157,44,3
157,49,3
158,34,3
158,35,3
158,43,3
159,35,3
159,38,3
161,49,3
162,49,3
164,34,3
166,35,3
166,45,3
166,48,3
168,43,3
168,48,3
169,45,3
169,48,3
170,36,3
170,38,3
170,49,3
171,38,3
171,39,3
173,35,3
173,40,3
174,44,3
175,35,3
175,38,3
178,38,3
178,48,3
180,43,3
182,48,3
184,35,3
184,43,3
184,48,3
187,38,3
187,48,3
188,35,3
188,49,3
191,38,3
191,43,3
192,35,3
192,48,3
193,35,3
193,48,3
194,35,3
194,45,3
194,49,3
195,48,3
197,35,3
197,48,3
198,38,3
198,48,3
199,35,3
199,38,3
199,49,3
200,48,3
201,35,3
201,48,3
203,41,3
203,44,3
205,35,3
205,48,3
212,34,3
212,38,3
213,39,3
216,38,3
217,35,3
217,49,3
