review_ref,category_id,user_id
1,35,3
1,38,1
1,40,3
1,43,1
1,43,3
2,35,1
2,35,3
2,39,3
2,45,1
2,48,1
2,48,3
3,35,1
3,35,3
3,38,1
3,38,3
3,43,1
3,43,3
3,48,1
3,48,3
4,35,1
4,35,3
4,48,1
4,48,3
5,38,1
5,38,3
6,34,3
6,35,3
6,38,1
6,48,3
6,49,1
6,49,3
7,38,1
7,38,3
8,35,3
8,38,1
8,38,3
8,48,1
9,33,1
9,38,3
10,35,3
10,43,1
10,43,3
10,45,1
11,33,1
11,33,3
12,35,3
12,38,3
12,43,1
12,43,3
13,35,1
13,35,3
13,38,3
13,48,1
13,48,3
14,35,1
14,35,3
14,48,1
14,48,3
15,35,3
15,40,1
15,40,3
15,48,3
16,38,3
16,42,1
17,35,1
17,35,3
17,49,1
17,49,3
18,48,1
18,48,3
19,35,1
19,35,3
19,43,1
19,43,3
20,48,1
20,48,3
20,49,3
21,35,1
21,35,3
21,43,1
21,43,3
22,35,1
22,35,3
22,38,3
22,48,1
22,48,3
23,35,1
23,35,3
24,38,3
24,43,1
24,43,3
25,35,1
25,35,3
25,38,3
25,40,3
25,48,1
26,35,3
26,36,1
26,36,3
27,35,1
27,35,3
27,48,1
27,48,3
28,35,1
28,35,3
28,38,1
28,38,3
29,38,3
29,41,1
29,48,3
30,38,3
30,48,1
30,48,3
31,38,3
31,49,1
31,49,3
32,49,1
32,49,3
33,35,1
33,35,3
33,36,1
33,36,3
33,48,3
34,35,1
34,35,3
34,36,1
34,36,3
34,40,3
35,35,1
35,35,3
35,38,3
36,38,3
36,48,1
36,48,3
37,35,1
37,35,3
37,38,1
37,38,3
37,48,1
38,38,3
38,41,1
39,38,1
39,39,3
40,38,1
40,38,3
41,38,1
41,38,3
42,48,1
42,49,3
43,48,1
43,48,3
44,48,1
44,48,3
45,48,1
45,48,3
46,34,1
46,34,3
47,35,1
47,35,3
47,48,1
47,48,3
48,35,3
48,48,1
48,48,3
49,35,1
49,35,3
49,48,1
49,48,3
50,43,1
50,43,3
50,48,1
50,48,3
51,36,1
51,36,3
52,35,3
52,48,1
52,48,3
53,35,1
53,35,3
53,43,1
53,43,3
54,35,1
54,35,3
54,48,1
54,48,3
55,38,1
55,44,3
55,49,3
56,38,3
56,48,1
56,48,3
57,35,3
57,38,1
57,38,3
57,45,1
58,38,1
58,38,3
59,35,1
59,35,3
59,48,1
59,48,3
60,48,1
60,48,3
61,35,1
61,35,3
61,38,1
61,38,3
62,48,1
62,48,3
63,45,1
63,45,3
64,38,3
64,48,1
64,48,3
65,48,1
65,48,3
65,49,1
65,49,3
66,48,1
66,48,3
66,49,1
66,49,3
67,38,3
67,48,1
67,48,3
68,38,1
68,38,3
69,35,1
69,35,3
69,36,1
69,36,3
70,48,1
70,48,3
71,35,3
71,43,1
71,43,3
71,48,1
71,48,3
72,48,1
72,48,3
73,35,1
73,35,3
73,38,1
73,40,3
74,35,1
74,35,3
74,36,1
74,36,3
74,38,3
74,40,1
74,48,1
74,48,3
75,35,1
75,35,3
75,43,1
75,43,3
75,48,1
75,48,3
76,38,1
76,38,3
76,48,1
76,48,3
77,38,1
77,38,3
77,41,1
77,41,3
77,48,1
77,48,3
78,35,3
78,38,3
78,48,1
78,48,3
79,38,3
79,43,1
79,43,3
79,48,1
80,35,1
80,35,3
80,38,3
80,40,1
81,35,1
81,35,3
81,38,3
81,48,1
81,48,3
82,35,1
82,35,3
82,38,3
82,43,1
82,43,3
82,48,3
83,35,1
83,35,3
83,41,3
83,42,1
83,42,3
84,33,1
84,38,3
85,35,3
85,48,1
85,48,3
86,48,1
86,48,3
87,35,1
87,35,3
87,43,1
87,43,3
87,48,1
87,48,3
88,35,1
88,35,3
88,36,1
88,36,3
89,35,3
89,38,3
89,43,1
89,43,3
90,38,3
90,49,1
90,49,3
91,48,1
91,48,3
92,35,1
92,35,3
92,36,1
92,36,3
92,38,3
93,35,1
93,35,3
93,48,1
93,48,3
94,35,1
94,35,3
94,38,1
94,38,3
95,38,3
95,43,1
96,35,1
96,35,3
96,36,3
96,48,1
96,48,3
97,35,1
97,35,3
97,48,1
97,48,3
98,48,1
98,48,3
99,35,3
99,38,1
99,40,3
100,35,1
100,35,3
100,38,3
100,48,1
100,48,3
101,35,1
101,35,3
101,48,1
101,48,3
102,38,3
102,39,3
102,41,1
103,35,3
103,45,1
103,48,1
103,48,3
104,35,1
104,35,3
104,36,1
104,36,3
104,48,3
105,45,3
105,48,1
